TimeHrs,SampleNames,Beads,TotalCells,gen0,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8
124,0.38,1,38017.40812,338.4912959,367.5048356,3230.174081,6257.253385,11750.48356,12040.61896,1363.636364,1992.263056,676.9825919
124,0.38,1,34354.27574,296.6841187,445.026178,2425.82897,6090.750436,10479.93019,10636.99825,1317.626527,1945.898778,715.5322862
124,0.38,1,31599.67186,262.5102543,426.5791632,1886.792453,4922.067268,10049.22067,10319.93437,1279.73749,1821.164889,631.6652994
124,0.19,1,20791.08635,818.9415042,869.0807799,2562.674095,4356.545961,5353.760446,4066.852368,1654.5961,746.5181058,362.1169916
124,0.19,1,24472.84345,958.4664537,932.9073482,3079.872204,4543.13099,7067.092652,4702.875399,1827.476038,862.6198083,498.4025559
124,0.19,1,27823.08224,898.4105045,1029.716655,3310.297167,5473.393227,7622.667588,5618.521078,2197.650311,1078.092605,594.333103
140,3,1,44559.04335,119.5814649,224.2152466,1449.925262,4872.944694,14499.25262,18161.43498,1838.565022,1614.349776,1778.77429
140,3,1,47700.61728,200.617284,169.7530864,1651.234568,5787.037037,14814.81481,19089.50617,2145.061728,1851.851852,1990.740741
140,3,1,45845.48105,87.46355685,306.122449,976.6763848,4970.845481,14825.07289,19285.71429,1895.043732,1618.075802,1880.466472
140,1.5,1,41529.09337,189.4451962,270.6359946,1677.943166,5832.205683,13085.25034,17077.13126,960.7577808,1055.480379,1380.243572
140,1.5,1,45392.91217,169.4915254,338.9830508,1926.040062,6163.328197,14499.22958,18628.65948,1001.540832,1155.624037,1510.015408
140,1.5,1,39419.35484,167.7419355,283.8709677,1625.806452,4541.935484,13612.90323,15600,877.4193548,1200,1509.677419
140,0.75,1,33986.99892,184.1820152,249.1874323,1473.456121,4582.881907,12156.013,13607.80065,520.0433369,498.3748646,715.0595883
140,0.75,1,41393.64303,158.9242054,268.9486553,2127.139364,6026.894866,14535.45232,15635.69682,831.2958435,806.8459658,1002.444988
140,0.75,1,33406.21404,92.0598389,207.1346375,1185.270426,4925.201381,11933.25662,12405.06329,552.3590334,978.1357883,1127.733026
140,0.38,1,35851.52838,163.7554585,327.510917,2609.170306,7041.484716,13460.69869,10796.94323,32.7510917,709.6069869,709.6069869
140,0.38,1,35335.49784,227.2727273,324.6753247,2261.904762,7132.034632,12954.54545,10584.41558,216.4502165,833.3333333,800.8658009
140,0.38,1,27174.72119,297.3977695,297.3977695,1840.148699,5195.167286,9646.840149,8085.501859,353.1598513,771.3754647,687.732342
140,0.19,1,28191.31833,900.3215434,1109.324759,3215.434084,5763.665595,8303.858521,5434.083601,1969.453376,1004.823151,490.3536977
140,0.19,1,27786.25954,932.9940628,1068.70229,3367.26039,5326.547922,7735.368957,5886.34436,1993.214589,958.4393554,517.3876166
140,0.19,1,23110.29412,816.1764706,875,2676.470588,4698.529412,6948.529412,4286.764706,1698.529412,757.3529412,352.9411765
